                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1996,                0.96101,                 1.0248,                0.89434,                0.54193,                0.61561,                0.45541,                0.95451,                0.58845,                 0.9319,               0.070126,              0.0033193,              0.0033193
                      1,                 1.0476,                 0.6576,                  0.939,                0.57402,                0.57219,                0.65553,                0.50165,                0.80052,                0.55215,                0.89175,               0.039994,              0.0065209,              0.0065209
                      2,                  1.061,                0.65203,                 0.9444,                0.58187,                0.58932,                0.66433,                 0.4904,                0.85432,                 0.5892,                0.91008,              0.0097306,              0.0095905,              0.0095905
                      3,                 1.0356,                0.62615,                0.93967,                0.90364,                0.59777,                0.66752,                0.50849,                0.80348,                0.51319,                0.89191,               0.009406,               0.009406,               0.009406
                      4,                0.99109,                0.58891,                0.92567,                0.63396,                0.73159,                0.69896,                0.53592,                0.78393,                0.49115,                0.88885,               0.009406,               0.009406,               0.009406
                      5,                0.96118,                0.56732,                0.91877,                0.61731,                0.81488,                 0.7041,                0.53927,                0.76571,                0.47073,                0.88149,               0.009208,               0.009208,               0.009208
                      6,                0.94133,                0.55084,                 0.9118,                0.73113,                0.76261,                 0.7634,                0.57932,                0.76854,                0.47342,                0.88037,                0.00901,                0.00901,                0.00901
                      7,                0.92513,                0.53382,                0.90623,                0.71613,                0.79056,                0.75374,                0.58874,                0.74025,                0.45401,                0.87453,               0.008812,               0.008812,               0.008812
                      8,                0.91062,                0.53045,                0.90442,                0.65823,                0.78555,                0.75756,                0.57375,                0.74855,                0.44586,                0.87718,               0.008614,               0.008614,               0.008614
                      9,                0.89787,                0.51754,                0.89974,                0.71631,                0.78951,                0.76696,                 0.5831,                0.74711,                0.44588,                0.87654,               0.008416,               0.008416,               0.008416
                     10,                0.89139,                0.51337,                0.90028,                0.70772,                0.84483,                0.73002,                0.57483,                0.73195,                0.43908,                0.87112,               0.008218,               0.008218,               0.008218
