                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6561,                 1.8836,                 1.2648,                 0.6681,                0.36088,                0.34434,                0.19903,                  1.358,                0.97443,                 1.1214,               0.070833,              0.0032407,              0.0032407
                      1,                 1.3473,                0.90586,                 1.0424,                0.76287,                0.47723,                0.50025,                0.32535,                 1.0813,                0.84847,                0.99393,                0.04079,              0.0065307,              0.0065307
                      2,                 1.3047,                0.83104,                 1.0238,                0.48188,                0.64717,                0.60557,                0.38928,                 1.0744,                 1.0933,                0.98968,               0.010703,              0.0097766,              0.0097766
                      3,                 1.2666,                 0.7772,                  1.011,                 0.5028,                0.56906,                0.56423,                0.38979,                 1.0377,                0.81693,                0.99213,               0.009802,               0.009802,               0.009802
                      4,                 1.2085,                0.69642,                0.99362,                0.51089,                 0.5751,                0.55644,                0.38636,                  1.003,                0.78602,                0.96603,               0.009802,               0.009802,               0.009802
                      5,                  1.158,                0.66273,                0.97705,                0.58553,                0.68609,                0.65786,                0.46169,                0.97089,                0.62803,                0.95827,               0.009736,               0.009736,               0.009736
                      6,                  1.126,                 0.6323,                0.96607,                 0.5296,                 0.7269,                0.66067,                0.46403,                0.92114,                 0.5869,                0.94349,                0.00967,                0.00967,                0.00967
                      7,                 1.0963,                0.61901,                0.96029,                0.59927,                0.64806,                0.65097,                0.47294,                0.91383,                0.55645,                0.94215,               0.009604,               0.009604,               0.009604
                      8,                 1.0846,                0.60342,                 0.9517,                0.58196,                0.75894,                0.68721,                0.48021,                 0.9364,                0.59461,                0.94828,               0.009538,               0.009538,               0.009538
                      9,                 1.0613,                 0.5928,                0.94667,                0.64891,                0.77555,                0.73869,                0.52742,                0.87436,                0.51624,                0.92487,               0.009472,               0.009472,               0.009472
                     10,                 1.0467,                0.58043,                0.94606,                0.55056,                0.69367,                0.68227,                0.49257,                0.93039,                0.53426,                0.94509,               0.009406,               0.009406,               0.009406
                     11,                 1.0351,                0.57242,                0.93936,                0.72976,                0.74568,                0.76538,                0.54731,                0.87277,                0.51289,                0.92319,                0.00934,                0.00934,                0.00934
                     12,                 1.0191,                0.56335,                0.93162,                0.65547,                0.74652,                0.76326,                0.54085,                0.88101,                0.50958,                0.92878,               0.009274,               0.009274,               0.009274
                     13,                 1.0113,                  0.554,                0.93236,                0.67448,                0.75116,                0.72438,                  0.517,                0.86863,                0.50547,                0.91923,               0.009208,               0.009208,               0.009208
                     14,                 1.0038,                0.54977,                0.92993,                 0.6428,                0.80168,                0.72417,                0.52678,                0.85312,                0.49711,                0.91912,               0.009142,               0.009142,               0.009142
                     15,                0.99364,                0.54517,                0.92591,                0.62775,                0.80768,                0.75345,                 0.5475,                0.87529,                0.51317,                 0.9225,               0.009076,               0.009076,               0.009076
                     16,                 0.9846,                0.53645,                0.92326,                0.66025,                0.85193,                0.78035,                0.57031,                0.84467,                0.49021,                0.91653,                0.00901,                0.00901,                0.00901
                     17,                0.98304,                0.53356,                  0.923,                 0.7064,                0.74342,                0.76955,                0.56721,                0.83672,                0.47221,                0.90721,               0.008944,               0.008944,               0.008944
                     18,                0.96791,                0.53065,                0.91934,                0.70487,                0.83663,                0.78053,                0.56297,                0.83558,                0.47154,                0.91004,               0.008878,               0.008878,               0.008878
                     19,                0.96115,                0.52157,                 0.9164,                0.61195,                0.81413,                0.73612,                 0.5523,                0.81473,                0.47628,                0.90735,               0.008812,               0.008812,               0.008812
                     20,                0.95839,                0.51817,                0.91538,                0.66063,                0.80696,                0.77295,                 0.5685,                 0.8213,                0.46084,                0.90581,               0.008746,               0.008746,               0.008746
                     21,                0.94948,                0.51514,                0.91369,                0.76622,                0.77071,                0.80783,                0.57996,                 0.8241,                0.47451,                0.90567,                0.00868,                0.00868,                0.00868
                     22,                0.93786,                0.50879,                0.91389,                0.72362,                 0.8104,                0.79433,                0.58755,                0.81707,                0.46009,                0.90617,               0.008614,               0.008614,               0.008614
                     23,                0.94101,                0.50689,                0.91277,                0.84493,                0.73579,                0.82206,                 0.6011,                0.81294,                0.45982,                0.90157,               0.008548,               0.008548,               0.008548
                     24,                0.93543,                0.50136,                0.90914,                0.61795,                 0.8007,                0.78806,                0.58422,                0.81821,                0.46365,                0.90527,               0.008482,               0.008482,               0.008482
                     25,                0.92603,                0.49962,                0.90885,                0.70852,                0.79384,                0.77426,                0.56786,                0.85772,                0.47001,                0.91701,               0.008416,               0.008416,               0.008416
                     26,                0.92834,                0.49864,                0.91021,                0.70382,                0.88703,                0.83553,                0.62919,                0.81251,                0.45217,                0.90408,                0.00835,                0.00835,                0.00835
                     27,                0.92711,                0.50092,                0.91055,                0.69048,                0.86337,                0.82233,                0.60116,                0.81952,                0.46389,                0.90526,               0.008284,               0.008284,               0.008284
                     28,                 0.9212,                0.50019,                0.90608,                0.69984,                0.84949,                0.80772,                0.60798,                 0.8167,                0.44926,                0.90669,               0.008218,               0.008218,               0.008218
                     29,                0.92205,                0.49218,                0.90786,                0.84098,                0.77339,                0.84386,                0.61042,                0.81537,                0.44943,                0.90535,               0.008152,               0.008152,               0.008152
                     30,                0.90394,                0.48454,                0.90475,                0.77178,                  0.828,                0.83431,                 0.6126,                0.82503,                0.44448,                0.90704,               0.008086,               0.008086,               0.008086
                     31,                0.91322,                0.48741,                0.90218,                0.64236,                0.83328,                0.82841,                0.62454,                0.81074,                0.45632,                0.90537,                0.00802,                0.00802,                0.00802
                     32,                 0.9083,                0.48476,                0.90153,                 0.7582,                 0.8573,                0.82542,                0.61867,                0.81113,                 0.4481,                  0.904,               0.007954,               0.007954,               0.007954
                     33,                 0.8951,                  0.482,                0.90001,                0.73597,                0.87158,                0.84664,                0.61558,                0.79426,                 0.4446,                0.89794,               0.007888,               0.007888,               0.007888
                     34,                0.89777,                 0.4802,                0.90107,                0.71047,                0.82182,                0.80137,                0.58493,                 0.8253,                0.46129,                0.90631,               0.007822,               0.007822,               0.007822
                     35,                0.89712,                0.48142,                0.90117,                 0.7969,                0.82911,                0.84831,                0.61108,                0.81639,                 0.4474,                0.90494,               0.007756,               0.007756,               0.007756
                     36,                0.89165,                0.47349,                0.90122,                0.75679,                0.82455,                0.83225,                0.62972,                0.80046,                0.43068,                0.89975,                0.00769,                0.00769,                0.00769
                     37,                0.89179,                 0.4752,                0.89931,                 0.8226,                0.76758,                0.82449,                0.58438,                0.87429,                0.45521,                0.92174,               0.007624,               0.007624,               0.007624
                     38,                0.88928,                0.47148,                0.89787,                0.70832,                 0.8858,                0.84669,                0.64001,                0.79043,                0.43099,                0.89914,               0.007558,               0.007558,               0.007558
                     39,                0.88218,                0.46796,                0.89577,                0.71275,                0.90397,                0.82934,                0.61245,                0.81102,                0.43646,                0.90468,               0.007492,               0.007492,               0.007492
                     40,                0.88334,                 0.4695,                0.89661,                0.84731,                0.76811,                0.86812,                0.63528,                0.78813,                0.42518,                0.89681,               0.007426,               0.007426,               0.007426
                     41,                0.88201,                0.46563,                0.89504,                0.84597,                0.73005,                0.82344,                0.60908,                0.79816,                0.43395,                0.90075,                0.00736,                0.00736,                0.00736
                     42,                0.87648,                0.46587,                0.89339,                0.82916,                0.83727,                0.87171,                0.64296,                0.79586,                0.43276,                0.89893,               0.007294,               0.007294,               0.007294
                     43,                0.87637,                0.46344,                0.89538,                0.73687,                0.88857,                0.85928,                0.64131,                0.79001,                0.42561,                0.90106,               0.007228,               0.007228,               0.007228
                     44,                0.86872,                0.46216,                0.89371,                0.80755,                0.78033,                0.83232,                0.62028,                0.78515,                0.42538,                0.89646,               0.007162,               0.007162,               0.007162
                     45,                0.86583,                 0.4589,                0.89242,                0.85185,                0.82924,                0.86947,                0.65066,                0.78532,                0.42777,                0.89614,               0.007096,               0.007096,               0.007096
                     46,                0.87223,                0.45936,                0.89433,                0.82727,                 0.8091,                0.87649,                0.64125,                0.78702,                0.42695,                0.89688,                0.00703,                0.00703,                0.00703
                     47,                0.86195,                0.45775,                 0.8898,                0.81105,                0.81727,                0.85779,                0.64634,                0.79848,                0.43528,                0.90289,               0.006964,               0.006964,               0.006964
                     48,                0.86314,                0.45299,                0.88965,                0.84487,                0.80125,                0.86926,                0.65164,                 0.7818,                0.42252,                0.89597,               0.006898,               0.006898,               0.006898
                     49,                0.85521,                0.45345,                0.88944,                0.86649,                0.82943,                0.89397,                0.65302,                0.79402,                0.42361,                0.90106,               0.006832,               0.006832,               0.006832
                     50,                0.85537,                0.45224,                 0.8901,                0.82918,                0.81655,                0.87528,                0.63242,                 0.7906,                0.41935,                0.89679,               0.006766,               0.006766,               0.006766
                     51,                0.85693,                0.45258,                0.88962,                0.83821,                0.83543,                0.90925,                0.67735,                0.78176,                0.41864,                0.89675,                 0.0067,                 0.0067,                 0.0067
                     52,                0.85575,                0.45224,                0.88843,                0.81228,                0.83059,                0.87745,                 0.6566,                0.78276,                0.41649,                0.89818,               0.006634,               0.006634,               0.006634
