                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2079,                  1.033,                 1.0062,                0.90021,                0.54308,                0.60773,                0.46994,                0.79832,                0.51554,                0.90819,               0.070252,              0.0033053,              0.0033053
                      1,                 1.1241,                0.65903,                0.94519,                0.91245,                0.58577,                0.66628,                0.51297,                0.82113,                0.49642,                0.91096,               0.040164,               0.006551,               0.006551
                      2,                 1.1399,                0.66346,                0.95548,                0.53747,                0.55621,                0.62497,                0.46292,                 0.8866,                 0.7491,                0.94382,              0.0099888,              0.0097087,              0.0097087
                      3,                 1.1482,                0.64885,                0.96199,                0.89762,                0.57357,                 0.6688,                0.49683,                0.86974,                0.53825,                 0.9364,               0.009604,               0.009604,               0.009604
                      4,                 1.1035,                0.62207,                0.95323,                0.90609,                0.56826,                0.66823,                0.50137,                0.83225,                0.54006,                0.93694,               0.009604,               0.009604,               0.009604
                      5,                 1.0626,                0.59264,                0.94063,                0.92239,                0.58676,                0.67543,                0.49903,                0.86594,                0.51375,                0.93938,               0.009472,               0.009472,               0.009472
                      6,                 1.0459,                0.58052,                0.93966,                0.60195,                0.74034,                0.75358,                0.57132,                0.77732,                 0.4588,                0.90716,                0.00934,                0.00934,                0.00934
                      7,                 1.0247,                0.56549,                0.93381,                0.64645,                0.77636,                0.76011,                0.55459,                 0.8356,                0.48575,                0.92334,               0.009208,               0.009208,               0.009208
                      8,                  1.006,                0.55035,                0.93009,                 0.6829,                0.77018,                0.74933,                0.56019,                0.79429,                0.44853,                0.90913,               0.009076,               0.009076,               0.009076
                      9,                0.98857,                0.54254,                0.92282,                0.60851,                0.86182,                0.71917,                0.56497,                0.75499,                0.43423,                0.89767,               0.008944,               0.008944,               0.008944
                     10,                  0.983,                0.53927,                 0.9216,                   0.63,                0.75275,                0.77001,                0.60826,                0.73672,                0.41915,                0.89424,               0.008812,               0.008812,               0.008812
                     11,                0.97048,                0.52583,                0.91994,                0.74441,                0.76023,                0.81153,                0.62894,                0.73438,                0.42086,                0.89278,                0.00868,                0.00868,                0.00868
                     12,                0.95838,                0.52194,                0.91697,                 0.7216,                0.82894,                0.73634,                0.56534,                0.79093,                0.43526,                0.91273,               0.008548,               0.008548,               0.008548
                     13,                0.95978,                0.52178,                 0.9186,                0.66741,                0.86826,                0.76217,                0.60285,                0.72855,                0.41014,                0.89264,               0.008416,               0.008416,               0.008416
                     14,                0.95069,                 0.5154,                0.91282,                 0.6993,                0.82356,                0.75939,                0.59607,                0.74207,                0.42063,                0.90209,               0.008284,               0.008284,               0.008284
                     15,                  0.947,                0.51131,                0.91372,                 0.6753,                0.75435,                0.75955,                0.59526,                 0.7161,                 0.3948,                0.89113,               0.008152,               0.008152,               0.008152
                     16,                0.92869,                0.50248,                0.91004,                0.68935,                 0.7994,                0.74893,                0.59209,                0.71855,                0.38958,                0.88906,                0.00802,                0.00802,                0.00802
                     17,                0.92407,                0.50067,                0.91034,                0.71333,                0.84119,                0.75189,                0.59049,                0.71234,                0.38849,                0.88879,               0.007888,               0.007888,               0.007888
                     18,                0.92197,                0.49329,                0.90921,                 0.6938,                 0.8449,                0.81624,                 0.6496,                0.71208,                0.38986,                0.88451,               0.007756,               0.007756,               0.007756
                     19,                0.91523,                  0.491,                0.90802,                0.69769,                0.85085,                0.80818,                0.65146,                0.70122,                0.38231,                0.88066,               0.007624,               0.007624,               0.007624
                     20,                0.91002,                0.48763,                0.90546,                0.74218,                0.81198,                0.81616,                0.65561,                0.70139,                 0.3831,                0.88257,               0.007492,               0.007492,               0.007492
                     21,                0.90511,                0.48363,                0.90471,                  0.755,                0.83934,                0.83468,                0.64413,                0.71536,                0.39437,                0.88799,                0.00736,                0.00736,                0.00736
                     22,                0.91156,                0.48499,                0.90206,                 0.7846,                0.80079,                0.83489,                0.65953,                0.70979,                0.38769,                0.88599,               0.007228,               0.007228,               0.007228
                     23,                0.90163,                0.48062,                0.90162,                0.79771,                0.77987,                0.84308,                0.66272,                0.69656,                0.37861,                0.88108,               0.007096,               0.007096,               0.007096
                     24,                0.89388,                0.47674,                0.89897,                0.85373,                0.78359,                0.86694,                 0.6803,                 0.6896,                0.37402,                0.88012,               0.006964,               0.006964,               0.006964
                     25,                0.89076,                0.47425,                 0.8987,                0.78683,                0.84655,                0.86536,                0.67124,                0.69032,                0.37116,                0.87981,               0.006832,               0.006832,               0.006832
                     26,                0.88261,                0.46982,                0.89669,                0.76406,                0.84705,                0.85795,                0.68764,                0.69113,                0.37302,                0.88208,                 0.0067,                 0.0067,                 0.0067
                     27,                0.88018,                0.46934,                0.89472,                0.79618,                 0.9045,                0.89775,                0.70481,                0.68689,                0.37294,                0.87762,               0.006568,               0.006568,               0.006568
                     28,                 0.8783,                0.46921,                0.89752,                0.77003,                0.87899,                0.88772,                0.70237,                0.68409,                0.36851,                0.87783,               0.006436,               0.006436,               0.006436
                     29,                0.87956,                0.46658,                0.89551,                0.79159,                 0.8795,                0.88566,                0.70831,                0.69094,                0.36785,                0.88068,               0.006304,               0.006304,               0.006304
                     30,                0.86802,                0.45984,                0.89379,                0.83388,                0.84844,                0.89414,                0.70976,                0.68239,                0.36561,                0.87765,               0.006172,               0.006172,               0.006172
                     31,                0.86973,                0.46172,                0.89562,                0.81369,                0.91244,                0.93337,                0.74224,                0.67605,                0.36057,                0.87506,                0.00604,                0.00604,                0.00604
                     32,                0.86338,                0.45743,                0.89261,                0.83742,                 0.8579,                0.90878,                 0.7365,                0.68268,                0.36308,                0.87609,               0.005908,               0.005908,               0.005908
                     33,                0.86411,                0.45657,                0.89067,                0.70386,                0.82683,                0.80853,                 0.6564,                0.69105,                 0.3646,                0.87779,               0.005776,               0.005776,               0.005776
                     34,                0.85742,                0.45349,                 0.8916,                0.83026,                0.88708,                0.91459,                0.72802,                0.67612,                 0.3576,                0.87385,               0.005644,               0.005644,               0.005644
                     35,                0.85606,                0.45075,                0.88897,                0.65981,                0.81042,                0.81464,                 0.6576,                0.66983,                0.35258,                0.87273,               0.005512,               0.005512,               0.005512
                     36,                0.85665,                0.44893,                0.88954,                0.78945,                0.91953,                0.89169,                0.71024,                 0.6751,                0.35398,                0.87372,                0.00538,                0.00538,                0.00538
                     37,                0.84837,                 0.4477,                0.88939,                0.78718,                0.87841,                0.88817,                0.70288,                0.67032,                0.35477,                0.87267,               0.005248,               0.005248,               0.005248
                     38,                0.84205,                0.44178,                0.88599,                0.79384,                 0.8778,                0.90015,                0.71447,                0.66456,                 0.3509,                0.86969,               0.005116,               0.005116,               0.005116
                     39,                0.84604,                0.44253,                0.88649,                0.87181,                0.84929,                 0.9128,                0.72023,                0.66962,                0.35031,                0.87126,               0.004984,               0.004984,               0.004984
                     40,                0.84266,                0.44099,                0.88629,                0.84001,                0.88097,                0.92318,                 0.7316,                0.67473,                0.35263,                0.87363,               0.004852,               0.004852,               0.004852
                     41,                0.84218,                0.43957,                0.88601,                0.80345,                0.87431,                0.88498,                0.70201,                0.66797,                0.34923,                0.87139,                0.00472,                0.00472,                0.00472
                     42,                 0.8311,                0.43311,                 0.8863,                0.79711,                0.89625,                0.90606,                0.72212,                0.66587,                0.34685,                0.87057,               0.004588,               0.004588,               0.004588
                     43,                0.83489,                 0.4353,                0.88397,                0.86799,                0.84992,                 0.9037,                0.70855,                0.66359,                0.34267,                0.87041,               0.004456,               0.004456,               0.004456
                     44,                0.82695,                0.43284,                0.88217,                0.82802,                0.88658,                0.90143,                 0.7132,                0.66139,                0.34451,                0.87023,               0.004324,               0.004324,               0.004324
                     45,                0.82876,                0.43269,                0.88356,                0.85522,                0.88551,                0.92681,                0.73563,                 0.6661,                0.34256,                0.86997,               0.004192,               0.004192,               0.004192
                     46,                0.82259,                0.42784,                0.88088,                0.88448,                0.87451,                 0.9312,                0.73561,                0.65842,                0.33822,                0.86788,                0.00406,                0.00406,                0.00406
                     47,                0.82493,                0.42767,                0.87789,                0.90314,                0.89511,                0.93479,                0.75282,                0.66358,                0.34177,                0.87052,               0.003928,               0.003928,               0.003928
                     48,                0.81828,                0.42188,                0.88055,                0.91671,                 0.8867,                0.94193,                0.75114,                0.66055,                0.33854,                0.86695,               0.003796,               0.003796,               0.003796
                     49,                0.82249,                0.42625,                 0.8833,                0.87519,                0.86111,                0.93724,                0.74718,                0.65666,                0.33779,                0.86845,               0.003664,               0.003664,               0.003664
                     50,                0.81833,                0.42244,                0.87711,                0.87002,                0.89826,                0.94038,                0.75759,                0.65942,                0.33879,                0.86785,               0.003532,               0.003532,               0.003532
                     51,                0.81242,                0.41932,                0.87976,                0.89477,                0.87244,                0.93889,                0.76964,                0.65643,                0.33545,                0.86813,                 0.0034,                 0.0034,                 0.0034
                     52,                0.80856,                0.41843,                 0.8782,                0.86818,                0.90544,                 0.9425,                0.75852,                0.65574,                 0.3363,                0.86686,               0.003268,               0.003268,               0.003268
                     53,                0.80782,                0.41624,                0.87837,                0.86248,                0.84298,                0.92922,                0.75076,                 0.6562,                 0.3351,                0.86752,               0.003136,               0.003136,               0.003136
                     54,                0.80524,                0.41524,                0.87744,                0.90689,                0.88073,                0.93944,                0.75028,                0.65369,                0.33289,                0.86715,               0.003004,               0.003004,               0.003004
                     55,                0.80438,                0.41211,                0.87486,                0.79227,                0.93125,                0.92777,                0.74031,                0.65422,                0.33286,                0.86661,               0.002872,               0.002872,               0.002872
                     56,                0.80298,                0.41079,                0.87616,                0.85813,                 0.9397,                0.93879,                0.75038,                0.65077,                 0.3311,                0.86655,                0.00274,                0.00274,                0.00274
                     57,                 0.7945,                0.40721,                0.87441,                0.93049,                0.89649,                0.95159,                0.76441,                0.64937,                0.33079,                0.86545,               0.002608,               0.002608,               0.002608
                     58,                0.79593,                0.40599,                0.87461,                0.85684,                0.92016,                0.94956,                0.76139,                0.64811,                0.32904,                0.86448,               0.002476,               0.002476,               0.002476
                     59,                0.79493,                0.40535,                0.87329,                0.94291,                0.90972,                0.96894,                0.76655,                 0.6478,                0.32839,                0.86464,               0.002344,               0.002344,               0.002344
                     60,                0.78563,                 0.3989,                0.86934,                0.88158,                0.91004,                0.94213,                0.74925,                0.65162,                0.32967,                0.86523,               0.002212,               0.002212,               0.002212
                     61,                0.78477,                0.40038,                0.87134,                0.86134,                0.90725,                0.94741,                0.75076,                0.64858,                0.32743,                0.86477,                0.00208,                0.00208,                0.00208
                     62,                0.78197,                0.39698,                0.87096,                0.85479,                0.93254,                0.94059,                0.75017,                0.64684,                0.32672,                0.86386,               0.001948,               0.001948,               0.001948
                     63,                0.77441,                0.39232,                0.86841,                0.91651,                 0.8956,                0.95322,                0.76305,                0.64651,                0.32613,                0.86328,               0.001816,               0.001816,               0.001816
                     64,                0.77273,                 0.3931,                0.86872,                0.93344,                0.89348,                0.95573,                0.76736,                0.64805,                0.32535,                0.86425,               0.001684,               0.001684,               0.001684
                     65,                 0.6501,                0.33031,                0.87409,                0.90815,                0.89549,                0.95728,                0.76943,                0.64617,                0.32384,                0.86389,               0.001552,               0.001552,               0.001552
                     66,                0.64552,                0.32896,                0.87216,                0.89476,                0.92405,                0.96534,                0.78607,                0.64726,                0.32398,                0.86455,                0.00142,                0.00142,                0.00142
                     67,                0.64427,                 0.3266,                0.87174,                0.90919,                0.91993,                0.95798,                0.77791,                0.64515,                0.32265,                0.86425,               0.001288,               0.001288,               0.001288
                     68,                0.63879,                0.32202,                0.86918,                0.92472,                0.88452,                0.95919,                 0.7843,                0.64148,                0.32118,                 0.8633,               0.001156,               0.001156,               0.001156
                     69,                 0.6323,                 0.3184,                0.86721,                0.92051,                0.90986,                0.95689,                0.77789,                0.64225,                0.32026,                0.86312,               0.001024,               0.001024,               0.001024
                     70,                0.63155,                0.31943,                0.86265,                0.89823,                0.91038,                 0.9561,                0.76997,                0.64162,                0.32029,                0.86274,               0.000892,               0.000892,               0.000892
                     71,                0.62512,                0.31314,                0.86392,                0.92038,                0.88422,                0.95915,                0.77365,                0.64168,                0.32045,                0.86336,                0.00076,                0.00076,                0.00076
                     72,                0.62122,                0.31134,                0.86317,                0.91781,                0.91606,                0.96345,                0.77778,                0.64208,                0.32076,                0.86328,               0.000628,               0.000628,               0.000628
                     73,                0.61858,                 0.3077,                0.86055,                0.94088,                0.89205,                0.96273,                0.78027,                0.64208,                 0.3206,                0.86344,               0.000496,               0.000496,               0.000496
                     74,                0.61591,                0.30558,                0.85978,                0.93441,                0.89394,                0.96133,                0.77527,                0.64254,                 0.3207,                0.86365,               0.000364,               0.000364,               0.000364
