                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2982,                 1.2632,                 1.0845,                0.83308,                0.51281,                0.53464,                0.38342,                0.94134,                0.64684,                0.93583,               0.070417,               0.003287,               0.003287
                      1,                 1.0856,                0.71074,                0.94977,                0.88272,                0.56105,                 0.6192,                0.47296,                0.82745,                0.61511,                0.89967,                0.04034,              0.0065433,              0.0065433
                      2,                 1.0813,                0.69391,                0.94874,                0.50329,                0.66937,                0.63301,                0.46868,                 0.8593,                0.71449,                0.90354,               0.010185,              0.0097218,              0.0097218
                      3,                 1.0608,                 0.6295,                0.94179,                 0.5594,                0.74052,                0.67721,                0.46864,                0.95219,                0.63013,                0.94154,              0.0096506,              0.0096506,              0.0096506
                      4,                 1.0039,                0.59565,                0.93025,                 0.5786,                0.68522,                0.66833,                0.50146,                0.81005,                0.54331,                0.89165,              0.0096506,              0.0096506,              0.0096506
                      5,                0.97348,                0.57482,                0.92002,                0.58859,                0.71897,                0.71824,                0.54833,                 0.7767,                0.49542,                 0.8824,              0.0095341,              0.0095341,              0.0095341
                      6,                0.94659,                0.54912,                0.91404,                0.66855,                0.77634,                0.73568,                0.55772,                0.76463,                0.47812,                0.88012,              0.0094176,              0.0094176,              0.0094176
                      7,                0.93029,                0.53837,                0.90834,                0.72666,                0.72917,                0.74788,                0.55565,                 0.7718,                0.47238,                0.88112,              0.0093012,              0.0093012,              0.0093012
                      8,                0.90834,                0.52798,                0.90495,                0.67964,                0.83965,                0.76324,                  0.586,                0.74805,                0.45156,                0.87689,              0.0091847,              0.0091847,              0.0091847
                      9,                0.90003,                0.51983,                0.90297,                0.71255,                  0.839,                0.77196,                0.56512,                0.77069,                0.47432,                0.88402,              0.0090682,              0.0090682,              0.0090682
                     10,                0.88147,                0.50957,                0.89927,                0.65356,                0.85751,                0.78556,                0.59282,                0.76818,                 0.4607,                0.87699,              0.0089518,              0.0089518,              0.0089518
                     11,                0.88044,                0.50816,                 0.8983,                0.73985,                 0.7851,                0.74072,                 0.5803,                0.73525,                0.43942,                0.87191,              0.0088353,              0.0088353,              0.0088353
                     12,                0.87088,                0.49893,                0.89627,                0.73842,                0.75323,                0.78877,                0.59573,                0.74667,                0.45107,                0.87907,              0.0087188,              0.0087188,              0.0087188
                     13,                0.86483,                0.49647,                  0.893,                0.63752,                0.84077,                0.75307,                0.58002,                0.73942,                0.44418,                0.87604,              0.0086024,              0.0086024,              0.0086024
                     14,                0.85281,                0.48603,                0.89063,                 0.6634,                0.79192,                0.75361,                0.57704,                0.73668,                0.43762,                0.87638,              0.0084859,              0.0084859,              0.0084859
                     15,                 0.8478,                0.48693,                0.89072,                0.75233,                0.79903,                0.80573,                0.61634,                0.72268,                0.43244,                0.87177,              0.0083694,              0.0083694,              0.0083694
                     16,                0.84078,                0.48172,                0.88934,                0.70654,                0.81511,                0.79889,                0.61838,                0.73389,                0.43307,                0.87229,              0.0082529,              0.0082529,              0.0082529
                     17,                0.83883,                0.47497,                0.88765,                0.74858,                0.78128,                0.84241,                 0.6452,                0.72106,                 0.4222,                0.87015,              0.0081365,              0.0081365,              0.0081365
                     18,                0.83519,                0.47233,                0.88813,                0.75595,                0.86704,                0.87249,                0.67154,                0.74146,                0.43861,                0.87743,                0.00802,                0.00802,                0.00802
                     19,                0.82793,                0.46923,                0.88612,                 0.7385,                0.90313,                0.82856,                0.65842,                 0.7159,                0.42485,                 0.8686,              0.0079035,              0.0079035,              0.0079035
                     20,                0.82097,                0.46539,                0.88399,                 0.7873,                0.77114,                0.80945,                0.62021,                0.73186,                0.42407,                0.87216,              0.0077871,              0.0077871,              0.0077871
                     21,                0.82111,                0.46367,                0.88088,                0.71305,                0.81108,                0.79483,                 0.6264,                0.72654,                0.41629,                0.87187,              0.0076706,              0.0076706,              0.0076706
                     22,                 0.8168,                0.46047,                0.88246,                0.73219,                0.74594,                0.74126,                0.58237,                0.74625,                0.42476,                0.87777,              0.0075541,              0.0075541,              0.0075541
                     23,                0.81423,                0.45813,                 0.8815,                0.70597,                0.87375,                0.83659,                0.65725,                0.71005,                 0.4054,                0.86647,              0.0074376,              0.0074376,              0.0074376
                     24,                0.80947,                0.45415,                0.87974,                0.74591,                0.83865,                0.85388,                0.68084,                0.69973,                0.40294,                0.86569,              0.0073212,              0.0073212,              0.0073212
                     25,                0.80382,                0.45248,                0.87673,                0.83831,                0.79214,                 0.8587,                0.67181,                0.71586,                0.41118,                0.86627,              0.0072047,              0.0072047,              0.0072047
                     26,                0.79984,                0.45068,                0.87738,                0.78701,                0.85572,                0.88191,                0.67523,                0.71545,                0.40554,                0.86713,              0.0070882,              0.0070882,              0.0070882
                     27,                0.79868,                0.45047,                0.87679,                0.80462,                0.82461,                0.86511,                0.68329,                0.70355,                0.39664,                0.86388,              0.0069718,              0.0069718,              0.0069718
                     28,                0.79247,                0.44505,                0.87671,                0.75209,                0.89647,                0.85268,                 0.6675,                0.70393,                0.40329,                0.86369,              0.0068553,              0.0068553,              0.0068553
                     29,                0.79122,                0.44042,                 0.8762,                0.79398,                0.78228,                  0.843,                0.65089,                0.70978,                0.39712,                0.86639,              0.0067388,              0.0067388,              0.0067388
                     30,                0.78821,                0.44038,                0.87413,                0.91345,                0.77292,                  0.888,                0.69488,                0.70563,                0.39913,                0.86481,              0.0066224,              0.0066224,              0.0066224
                     31,                 0.7863,                0.43928,                0.87488,                0.74637,                0.89887,                0.86331,                0.68775,                0.69836,                0.39109,                 0.8649,              0.0065059,              0.0065059,              0.0065059
                     32,                0.78339,                0.43801,                0.87374,                0.78182,                0.84354,                0.86988,                0.69663,                0.70581,                0.40088,                0.86714,              0.0063894,              0.0063894,              0.0063894
                     33,                0.78472,                0.43632,                0.87329,                0.76105,                0.83449,                0.88608,                0.69643,                0.69281,                0.38694,                0.86138,              0.0062729,              0.0062729,              0.0062729
                     34,                0.77506,                0.43136,                0.87211,                0.85634,                0.83239,                0.90628,                0.71598,                0.69708,                0.38878,                0.86292,              0.0061565,              0.0061565,              0.0061565
                     35,                 0.7732,                0.43238,                0.87103,                0.91732,                0.83229,                0.91488,                0.71202,                 0.6835,                0.38227,                 0.8593,                0.00604,                0.00604,                0.00604
                     36,                0.77287,                0.42578,                0.87075,                0.79172,                0.87454,                0.89257,                0.70901,                0.69095,                0.38179,                0.86022,              0.0059235,              0.0059235,              0.0059235
                     37,                 0.7705,                0.42697,                0.87192,                0.87179,                0.90552,                0.94139,                0.74028,                0.68974,                0.38276,                0.86177,              0.0058071,              0.0058071,              0.0058071
                     38,                 0.7684,                0.42556,                0.87122,                0.84532,                0.80772,                0.86092,                0.68942,                0.68863,                0.38522,                0.86069,              0.0056906,              0.0056906,              0.0056906
                     39,                0.76514,                0.42419,                 0.8674,                0.78283,                0.87191,                0.89041,                0.71415,                0.69273,                0.38303,                0.86146,              0.0055741,              0.0055741,              0.0055741
                     40,                0.75553,                0.41831,                0.86793,                0.78013,                0.83164,                0.87687,                0.70013,                0.68362,                0.38273,                0.85849,              0.0054576,              0.0054576,              0.0054576
                     41,                0.75962,                0.42245,                0.86826,                0.80792,                0.82758,                0.86339,                0.67998,                0.67706,                 0.3742,                 0.8577,              0.0053412,              0.0053412,              0.0053412
                     42,                0.75321,                0.41646,                0.86691,                0.81945,                0.84968,                0.88725,                0.69688,                0.67804,                0.37643,                0.85669,              0.0052247,              0.0052247,              0.0052247
                     43,                0.75218,                0.41521,                0.86576,                0.83418,                0.84722,                 0.8823,                0.69415,                0.69538,                0.37894,                0.86169,              0.0051082,              0.0051082,              0.0051082
                     44,                0.75036,                0.41327,                 0.8667,                0.77652,                0.89675,                0.87775,                 0.6882,                0.67567,                0.37359,                0.85618,              0.0049918,              0.0049918,              0.0049918
                     45,                0.74912,                0.41107,                0.86565,                0.80615,                0.86461,                0.89486,                0.70618,                0.68532,                0.37674,                0.85909,              0.0048753,              0.0048753,              0.0048753
